Country,City_Tier,Age,Gender,Education_Level,HH_Size,Annual_HH_Income_USD,Monthly_kWh,High_Energy_Appliances,EE_Appliance_Share,Env_Concern,EE_Knowledge,Govt_Incentive_Aware,Will_Adopt,Premium_WTP_pct,Budget_USD,Financing_Pref,Acceptable_Payback_yrs,Primary_Decision_Factor,Main_Barrier,Wanted_Features,Interested_Categories,Info_Sources
India,Rural,41,Male,Secondary,2,36779.63,207.2,1,49,5,4,1,1,11.2,1467.78,0‑interest EMI,2,Govt incentive,High cost,Solar compatibility;Wi‑Fi control;Compact design,Dishwasher,Social media;Friends/Family
UAE,Metro,40,Male,Secondary,1,63861.4,438.2,9,34,2,3,0,1,2.8,2627.79,Rental,3,Energy saving,High cost,Quiet motor;Solar compatibility;5‑Star rating,AC;Water‑heater;Dishwasher,Govt portals
UAE,Tier‑2 city,33,Male,Secondary,4,111542.17,258.1,4,75,1,1,1,0,1.9,4829.58,Upfront,2,Govt incentive,Limited models,Compact design;Quiet motor,Refrigerator;Washer,Govt portals;Friends/Family;Online reviews
Singapore,Metro,30,Female,Primary,2,60753.49,973.8,2,16,1,1,0,0,5.3,2501.41,Upfront,1,Energy saving,Limited models,5‑Star rating;Wi‑Fi control,Dishwasher,Online reviews;In‑store demos
India,Tier‑2 city,49,Female,Graduate,2,11415.73,260.2,0,25,3,4,1,0,5.9,113.44,BNPL,2,Energy saving,Limited models,Wi‑Fi control;5‑Star rating;Compact design,Washer;AC,Social media
UAE,Metro,26,Male,Graduate,4,787063.81,281.8,10,100,1,1,1,1,7.8,39786.81,Upfront,4,Govt incentive,Uncertain savings,Wi‑Fi control;Compact design;Solar compatibility,Air‑purifier;Water‑heater;Dishwasher,Social media;In‑store demos;Friends/Family
India,Metro,24,Female,Post‑grad,2,24257.39,302.1,2,36,1,2,1,0,3.0,1405.53,Upfront,3,Up‑front price,Limited models,Compact design,Water‑heater;Refrigerator;Air‑purifier,Social media;In‑store demos
UAE,Metro,23,Female,Graduate,5,57647.67,387.5,2,33,1,1,1,0,2.2,2686.68,0‑interest EMI,3,Brand,Low awareness,Wi‑Fi control,Dishwasher;Air‑purifier;AC,Social media;Friends/Family
Singapore,Metro,22,Male,Secondary,6,81406.84,163.4,2,47,5,5,1,1,12.1,5006.34,Upfront,1,Peer reviews,Limited models,Wi‑Fi control;Quiet motor,Refrigerator;Water‑heater;Dishwasher,Friends/Family
India,Metro,33,Female,Graduate,5,22379.13,194.9,1,27,4,4,0,0,7.9,1525.39,0‑interest EMI,3,Up‑front price,Other,Compact design,AC;Washer,Friends/Family
Singapore,Metro,29,Female,Secondary,1,119647.82,269.2,10,56,2,2,1,1,11.7,5908.86,Upfront,3,Govt incentive,High cost,Quiet motor,Water‑heater;Air‑purifier,In‑store demos
Singapore,Metro,29,Female,Graduate,3,66287.89,418.5,8,41,1,1,1,0,0.3,3349.22,BNPL,4,Peer reviews,Low awareness,5‑Star rating;Solar compatibility;Wi‑Fi control,Water‑heater;Dishwasher;Washer,Social media
Singapore,Metro,33,Female,Secondary,2,120626.91,139.6,10,71,1,1,0,0,3.2,5482.67,BNPL,3,Up‑front price,High cost,Compact design;Solar compatibility;Quiet motor,Water‑heater,Social media;In‑store demos;Friends/Family
Singapore,Metro,37,Male,Primary,5,99434.97,222.4,7,69,2,3,1,1,13.9,5500.96,Upfront,0,Brand,Uncertain savings,Quiet motor;5‑Star rating;Wi‑Fi control,Dishwasher,Social media
UAE,Metro,36,Male,Secondary,3,57740.56,714.5,6,35,5,4,1,1,13.6,2642.71,0‑interest EMI,1,Up‑front price,High cost,5‑Star rating;Compact design;Quiet motor,Water‑heater;Air‑purifier,Friends/Family
India,Metro,23,Female,Graduate,3,28114.72,168.4,1,61,1,2,1,1,0.7,1082.45,Upfront,1,Energy saving,Other,5‑Star rating,Refrigerator,Govt portals;In‑store demos;Social media
India,Metro,44,Male,Post‑grad,2,42926.91,192.7,3,35,3,4,0,0,4.2,1692.56,BNPL,2,Brand,High cost,5‑Star rating;Wi‑Fi control,Refrigerator,Social media;In‑store demos;Govt portals
India,Tier‑2 city,42,Male,Graduate,2,18846.21,212.4,3,52,3,4,0,1,13.1,1027.18,Upfront,3,Brand,High cost,Quiet motor;Solar compatibility,Washer;Air‑purifier;Water‑heater,In‑store demos
UAE,Tier‑2 city,43,Female,Secondary,6,35360.11,278.1,3,41,2,3,0,0,4.7,2559.52,Rental,4,Energy saving,Low awareness,Compact design;Quiet motor,Air‑purifier;AC,In‑store demos
UAE,Metro,42,Male,Graduate,1,119184.26,834.3,8,61,4,5,0,1,9.4,6067.64,Upfront,3,Govt incentive,Limited models,Compact design,Water‑heater,Online reviews
India,Rural,35,Female,Secondary,1,30982.08,351.6,3,4,3,4,0,1,9.3,889.53,BNPL,4,Up‑front price,Low awareness,Solar compatibility;Compact design,Air‑purifier,In‑store demos;Social media;Online reviews
UAE,Metro,18,Female,Secondary,2,69088.89,301.7,6,55,3,3,1,1,8.3,3922.28,Upfront,4,Brand,Uncertain savings,Quiet motor;Wi‑Fi control;Solar compatibility,Water‑heater;AC;Refrigerator,Online reviews;Friends/Family;Govt portals
Singapore,Metro,51,Male,Secondary,1,66531.99,341.8,6,31,5,4,1,1,6.2,3054.14,Rental,4,Energy saving,Limited models,Quiet motor;Compact design;5‑Star rating,Water‑heater;AC,Online reviews;Govt portals
Singapore,Metro,34,Female,Graduate,3,88156.66,107.0,4,54,2,1,0,0,10.1,3480.44,BNPL,1,Energy saving,Uncertain savings,5‑Star rating,AC,Govt portals;Online reviews;Friends/Family
UAE,Tier‑2 city,26,Male,Secondary,1,92630.57,190.8,3,72,3,3,1,1,8.1,4302.08,BNPL,3,Energy saving,Low awareness,Solar compatibility;Wi‑Fi control,Washer,Friends/Family;Govt portals;Online reviews
UAE,Metro,45,Female,Post‑grad,3,50440.25,479.7,3,77,3,2,1,1,10.9,2391.5,Upfront,3,Energy saving,Low awareness,Quiet motor,Washer,Social media;Online reviews;Friends/Family
Singapore,Metro,29,Male,Graduate,6,137361.19,175.2,2,57,1,2,1,0,4.6,6761.07,Upfront,1,Govt incentive,Low awareness,5‑Star rating;Solar compatibility;Quiet motor,Air‑purifier,Friends/Family;Social media
Singapore,Metro,38,Female,Graduate,3,92982.41,151.5,7,35,5,4,1,0,5.0,4902.49,0‑interest EMI,2,Up‑front price,Low awareness,Compact design;5‑Star rating;Solar compatibility,Washer;AC,Friends/Family
